Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Completeness,10,43,0.728,0.3523508000686687,0.729,0.3572863038939403,-0.004935503825271581,0.10032439275259118,0.8773333333333333
CAMeLBERT-Mix,Completeness,10,44,0.728,0.3523508000686687,0.7246666666666667,0.35646845234013214,-0.0041176522714634345,0.09949363082522351,0.867
CAMeLBERT-Mix,Completeness,10,45,0.728,0.3523508000686687,0.724,0.34855864083934257,0.003792159229326131,0.09929583036632644,0.8736666666666667
CAMeLBERT-Mix,Completeness,10,46,0.728,0.3523508000686687,0.717,0.3528090224513033,-0.0004582223826345988,0.10010681224780442,0.87
CAMeLBERT-Mix,Completeness,20,42,0.728,0.3523508000686687,0.722,0.3602021572883112,-0.007851357219642474,0.19975868344014558,0.9513333333333334
CAMeLBERT-Mix,Completeness,20,43,0.728,0.3523508000686687,0.716,0.3341714975543065,0.018179302514362228,0.20021362449560884,0.9606666666666667
CAMeLBERT-Mix,Completeness,20,44,0.728,0.3523508000686687,0.7196666666666667,0.34806576586101967,0.00428503420764903,0.2001147242661603,0.9556666666666667
CAMeLBERT-Mix,Completeness,20,45,0.728,0.3523508000686687,0.719,0.3525230129362936,-0.00017221286762492127,0.19960044307302793,0.95
CAMeLBERT-Mix,Completeness,20,46,0.728,0.3523508000686687,0.7223333333333334,0.3538748178389948,-0.0015240177703261248,0.20031252472505737,0.9526666666666667
CAMeLBERT-Mix,Completeness,30,42,0.728,0.3523508000686687,0.7186666666666667,0.3463909249017988,0.00595987516686991,0.2997665954585015,0.9763333333333334
CAMeLBERT-Mix,Completeness,30,43,0.728,0.3523508000686687,0.7116666666666667,0.3355841679673074,0.016766632101361312,0.3001424163304059,0.9796666666666667
CAMeLBERT-Mix,Completeness,30,44,0.728,0.3523508000686687,0.7206666666666667,0.3491882027182588,0.0031625973504099125,0.30002373605506766,0.9783333333333334
CAMeLBERT-Mix,Completeness,30,45,0.728,0.3523508000686687,0.7163333333333334,0.3426423782802629,0.009708421788405808,0.30035999683519266,0.9713333333333334
CAMeLBERT-Mix,Completeness,30,46,0.728,0.3523508000686687,0.711,0.3286637663916766,0.023687033676992097,0.29968747527494266,0.975
CAMeLBERT-Mix,Consistency,10,42,0.728,0.3523508000686687,0.722,0.3596858488306018,-0.007335048761933083,0.10024948171053094,0.887
CAMeLBERT-Mix,Consistency,10,43,0.728,0.3523508000686687,0.726,0.3603818057336169,-0.008031005664948188,0.09937102498330933,0.885
CAMeLBERT-Mix,Consistency,10,44,0.728,0.3523508000686687,0.728,0.3519020092023968,0.0004487908662719198,0.10061843353596402,0.8946666666666667
CAMeLBERT-Mix,Consistency,10,45,0.728,0.3523508000686687,0.7233333333333334,0.35209888819633617,0.0002519118723325331,0.09988052988509787,0.8856666666666667
CAMeLBERT-Mix,Consistency,10,46,0.728,0.3523508000686687,0.725,0.3454176616823441,0.006933138386324589,0.10005622123054218,0.89
CAMeLBERT-Mix,Consistency,20,42,0.728,0.3523508000686687,0.7226666666666667,0.3494821557508205,0.0028686443178482235,0.20028813380652868,0.957
CAMeLBERT-Mix,Consistency,20,43,0.728,0.3523508000686687,0.7163333333333334,0.33694636899977476,0.015404431068893942,0.2001300115956288,0.9586666666666667
CAMeLBERT-Mix,Consistency,20,44,0.728,0.3523508000686687,0.724,0.3571975613492276,-0.004846761280558887,0.20005973505745106,0.9516666666666667
CAMeLBERT-Mix,Consistency,20,45,0.728,0.3523508000686687,0.7186666666666667,0.350891991031894,0.0014588090367746998,0.19998945851927333,0.953
CAMeLBERT-Mix,Consistency,20,46,0.728,0.3523508000686687,0.7263333333333334,0.35161337625711175,0.0007374238115569476,0.19923398573386275,0.9503333333333334
CAMeLBERT-Mix,Consistency,30,42,0.728,0.3523508000686687,0.7156666666666667,0.3235795691578323,0.028771230910836387,0.29995783407709337,0.9753333333333334
CAMeLBERT-Mix,Consistency,30,43,0.728,0.3523508000686687,0.723,0.3496444056395202,0.0027063944291484954,0.30001054148072664,0.972
