Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
Twitter-RoBERTa-Irony,Completeness,0.2,20,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7403333333333333,0.6259434843340426,0.4190902311707681,0.017332126140895077,0.20021362449560884,0.9606666666666667
Twitter-RoBERTa-Irony,Completeness,0.2,20,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7343333333333333,0.6201128857359617,0.4118081180811808,0.02316272473897596,0.2001147242661603,0.9556666666666667
Twitter-RoBERTa-Irony,Completeness,0.2,20,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.737,0.6250997239485885,0.42027920646583394,0.01817588652634916,0.19960044307302793,0.95
Twitter-RoBERTa-Irony,Completeness,0.2,20,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.736,0.6222986244421116,0.4150664697193501,0.02097698603282605,0.20031252472505737,0.9526666666666667
Twitter-RoBERTa-Irony,Completeness,0.3,30,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.746,0.6185705103947045,0.3981042654028436,0.02470510008023319,0.2997665954585015,0.9763333333333334
Twitter-RoBERTa-Irony,Completeness,0.3,30,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.742,0.6018245421496673,0.3655737704918033,0.041451068325270346,0.3001424163304059,0.9796666666666667
Twitter-RoBERTa-Irony,Completeness,0.3,30,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.743,0.6092888905780852,0.38072289156626504,0.033986719896852424,0.30002373605506766,0.9783333333333334
Twitter-RoBERTa-Irony,Completeness,0.3,30,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.747,0.6162790051026298,0.3923138510808647,0.026996605372307858,0.30035999683519266,0.9713333333333334
Twitter-RoBERTa-Irony,Completeness,0.3,30,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7433333333333333,0.6109473684210527,0.384,0.03232824205388496,0.29968747527494266,0.975
Twitter-RoBERTa-Irony,Consistency,0.1,10,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7353333333333333,0.632308448446619,0.4376770538243626,0.0109671620283186,0.10024948171053094,0.887
Twitter-RoBERTa-Irony,Consistency,0.1,10,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.738,0.6363694683592089,0.44413012729844414,0.006906142115728708,0.09937102498330933,0.885
Twitter-RoBERTa-Irony,Consistency,0.1,10,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7356666666666667,0.6333103413728127,0.43957597173144874,0.009965269102124918,0.10061843353596402,0.8946666666666667
Twitter-RoBERTa-Irony,Consistency,0.1,10,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7363333333333333,0.6320696924812752,0.436208125445474,0.01120591799366244,0.09988052988509787,0.8856666666666667
Twitter-RoBERTa-Irony,Consistency,0.1,10,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.74,0.6373658253553816,0.4444444444444444,0.005909785119556088,0.10005622123054218,0.89
Twitter-RoBERTa-Irony,Consistency,0.2,20,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7376666666666667,0.6217000297544704,0.4122479462285287,0.02157558072046728,0.20028813380652868,0.957
Twitter-RoBERTa-Irony,Consistency,0.2,20,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.743,0.6313473640220847,0.4284655300222387,0.011928246452852953,0.2001300115956288,0.9586666666666667
Twitter-RoBERTa-Irony,Consistency,0.2,20,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.74,0.6268475828653512,0.42136498516320475,0.016428027609586393,0.20005973505745106,0.9516666666666667
Twitter-RoBERTa-Irony,Consistency,0.2,20,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.734,0.6170234821875926,0.40536512667660207,0.026252128287345022,0.19998945851927333,0.953
Twitter-RoBERTa-Irony,Consistency,0.2,20,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.743,0.6313473640220847,0.4284655300222387,0.011928246452852953,0.19923398573386275,0.9503333333333334
Twitter-RoBERTa-Irony,Consistency,0.3,30,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7443333333333333,0.6167324517680027,0.3955870764381403,0.02654315870693491,0.29995783407709337,0.9753333333333334
Twitter-RoBERTa-Irony,Consistency,0.3,30,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7436666666666667,0.619660345312796,0.4024864024864025,0.02361526516214163,0.30001054148072664,0.972
Twitter-RoBERTa-Irony,Consistency,0.3,30,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7413333333333333,0.6159812503835239,0.3965785381026439,0.027294360091413727,0.3007484451315928,0.9743333333333334
Twitter-RoBERTa-Irony,Consistency,0.3,30,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7403333333333333,0.6129615003513488,0.39093041438623927,0.030314110123588867,0.29995783407709337,0.972
Twitter-RoBERTa-Irony,Consistency,0.3,30,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.743,0.6164987446261327,0.3962411902897416,0.0267768658488049,0.29995783407709337,0.9736666666666667
Twitter-RoBERTa-Irony,Validity,0.1,10,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7336666666666667,0.489388896285448,0.1362162162162162,0.15388671418948963,0.10077933380805444,0.8813333333333333
Twitter-RoBERTa-Irony,Validity,0.1,10,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7346666666666667,0.4908558738345972,0.13852813852813853,0.15241973664034042,0.10032439275259118,0.8776666666666667
Twitter-RoBERTa-Irony,Validity,0.1,10,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.733,0.4862924746657534,0.13029315960912052,0.15698313580918422,0.09998813197246617,0.8783333333333333
Twitter-RoBERTa-Irony,Validity,0.1,10,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7326666666666667,0.48335217258356555,0.12445414847161572,0.1599234378913721,0.09992879183479705,0.875
Twitter-RoBERTa-Irony,Validity,0.1,10,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.733,0.4844576754340328,0.12649945474372956,0.15881793504090486,0.10056175330326766,0.8726666666666667
Twitter-RoBERTa-Irony,Validity,0.2,20,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.735,0.47800108339397784,0.11173184357541899,0.1652745270809598,0.1998180235778147,0.9583333333333334
Twitter-RoBERTa-Irony,Validity,0.2,20,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.737,0.48478505175766223,0.12430632630410655,0.1584905587172754,0.2001147242661603,0.9556666666666667
Twitter-RoBERTa-Irony,Validity,0.2,20,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7333333333333333,0.4742334981611317,0.10514541387024609,0.16904211231380595,0.19916528206345438,0.9536666666666667
Twitter-RoBERTa-Irony,Validity,0.2,20,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7333333333333333,0.4752015226153157,0.10714285714285714,0.16807408785962197,0.1998378036237044,0.9556666666666667
