Model,Dimension,Severity,Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Textual Accuracy,20,46,0.615648583615881,0.6133428783671931,0.5575303510882642,0.5517411105992286,0.061601767767964555,0.1998614494856254,0.9270890298589085
CAMeLBERT-Mix,Textual Accuracy,30,42,0.615648583615881,0.6133428783671931,0.524390243902439,0.5178886620106701,0.09545421635652307,0.2998569011101535,0.9785901782784644
CAMeLBERT-Mix,Textual Accuracy,30,43,0.615648583615881,0.6133428783671931,0.5215465383353385,0.5152344879212153,0.09810839044597786,0.29996652862152734,0.9788499398446899
CAMeLBERT-Mix,Textual Accuracy,30,44,0.615648583615881,0.6133428783671931,0.5243765722410587,0.5182921472684108,0.09505073109878237,0.3000015161251573,0.9782210434211965
CAMeLBERT-Mix,Textual Accuracy,30,45,0.615648583615881,0.6133428783671931,0.521478180028437,0.5154539357150664,0.09788894265212678,0.2998067523549506,0.9787405665536476
CAMeLBERT-Mix,Textual Accuracy,30,46,0.615648583615881,0.6133428783671931,0.5228316745050858,0.5167598815612697,0.09658299680592342,0.2999128811159614,0.9786995515695067
CAMeLBERT-Mix,Completeness,10,42,0.615648583615881,0.6133428783671931,0.5901646068030187,0.5867251068830935,0.026617771484099606,0.09990165059890457,0.779558131904189
CAMeLBERT-Mix,Completeness,10,43,0.615648583615881,0.6133428783671931,0.5902876517554413,0.5870963658090899,0.026246512558103285,0.10005868751365264,0.7797768784862736
CAMeLBERT-Mix,Completeness,10,44,0.615648583615881,0.6133428783671931,0.5904243683692443,0.5870407129965045,0.026302165370688635,0.09984930496065521,0.778382369025484
CAMeLBERT-Mix,Completeness,10,45,0.615648583615881,0.6133428783671931,0.589426337088483,0.5862693669252995,0.027073511441893627,0.09998721558450448,0.7794350869517663
CAMeLBERT-Mix,Completeness,10,46,0.615648583615881,0.6133428783671931,0.5892622771519195,0.5857885674007935,0.027554310966399598,0.10005264763231618,0.7794214152903861
CAMeLBERT-Mix,Completeness,20,42,0.615648583615881,0.6133428783671931,0.5606338182215903,0.5564528792693783,0.05688999909781489,0.19999053751923954,0.9588072842611834
CAMeLBERT-Mix,Completeness,20,43,0.615648583615881,0.6133428783671931,0.5615771628568303,0.5577082484639466,0.055634629903246524,0.1999784577565666,0.9585201793721974
CAMeLBERT-Mix,Completeness,20,44,0.615648583615881,0.6133428783671931,0.5600185934594772,0.5561708984114448,0.0571719799557483,0.2000046305756913,0.957891282948704
CAMeLBERT-Mix,Completeness,20,45,0.615648583615881,0.6133428783671931,0.5592393087608006,0.5552263760080255,0.058116502359167654,0.1999140323556443,0.9573444164934923
CAMeLBERT-Mix,Completeness,20,46,0.615648583615881,0.6133428783671931,0.5596768019249699,0.5557615409499045,0.05758133741728866,0.20015361431532408,0.9583151044514929
CAMeLBERT-Mix,Completeness,30,42,0.615648583615881,0.6133428783671931,0.5236929891720442,0.518796877319665,0.0945460010475282,0.29994151381572526,0.9904435086951766
CAMeLBERT-Mix,Completeness,30,43,0.615648583615881,0.6133428783671931,0.523638302526523,0.5185524471849663,0.09479043118222685,0.2999847996319699,0.9903341354041343
CAMeLBERT-Mix,Completeness,30,44,0.615648583615881,0.6133428783671931,0.5243082139341573,0.5194539506763804,0.0938889276908127,0.2999928528070852,0.989896642239965
CAMeLBERT-Mix,Completeness,30,45,0.615648583615881,0.6133428783671931,0.5249234386962703,0.5198158208232964,0.09352705754389679,0.29985594883012534,0.9904024937110357
